username,repo_name,stars,repo_url
,mrdoob,98900,https://github.com/topics/mrdoob
pmndrs,react-three-fiber,26000,https://github.com/topics/pmndrs/react-three-fiber
libgdx,libgdx,22700,https://github.com/topics/libgdx/libgdx
,BabylonJS,22500,https://github.com/topics/BabylonJS
ssloy,tinyrenderer,19400,https://github.com/topics/ssloy/tinyrenderer
FreeCAD,FreeCAD,17500,https://github.com/topics/FreeCAD/FreeCAD
,lettier,17100,https://github.com/topics/lettier
aframevr,aframe,16200,https://github.com/topics/aframevr/aframe
CesiumGS,cesium,11800,https://github.com/topics/CesiumGS/cesium
,blender,11500,https://github.com/topics/blender
MonoGame,MonoGame,10800,https://github.com/topics/MonoGame/MonoGame
mapbox,mapbox-gl-js,10700,https://github.com/topics/mapbox/mapbox-gl-js
,isl-org,10500,https://github.com/topics/isl-org
,metafizzy,10200,https://github.com/topics/metafizzy
timzhang642,3D-Machine-Learning,9400,https://github.com/topics/timzhang642/3D-Machine-Learning
,nerfstudio-project,8500,https://github.com/topics/nerfstudio-project
a1studmuffin,SpaceshipGenerator,7600,https://github.com/topics/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,7200,https://github.com/topics/domlysz/BlenderGIS
FyroxEngine,Fyrox,7200,https://github.com/topics/FyroxEngine/Fyrox
google,model-viewer,6500,https://github.com/topics/google/model-viewer
