username,repo_name,stars,repo_url
,public-apis,292000,https://github.com/topics/public-apis
neovim,neovim,76500,https://github.com/topics/neovim/neovim
,tiangolo,71000,https://github.com/topics/tiangolo
,hoppscotch,60100,https://github.com/topics/hoppscotch
,strapi,60000,https://github.com/topics/strapi
,ocornut,55800,https://github.com/topics/ocornut
slatedocs,slate,35800,https://github.com/topics/slatedocs/slate
,Kong,33100,https://github.com/topics/Kong
trpc,trpc,32700,https://github.com/topics/trpc/trpc
,QuivrHQ,32299,https://github.com/topics/QuivrHQ
,httpie,31900,https://github.com/topics/httpie
,ccxt,31400,https://github.com/topics/ccxt
,hasura,30800,https://github.com/topics/hasura
Binaryify,NeteaseCloudMusicApi,30200,https://github.com/topics/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,27500,https://github.com/topics/encode/django-rest-framework
YMFE,yapi,27100,https://github.com/topics/YMFE/yapi
,directus,25400,https://github.com/topics/directus
littlecodersh,ItChat,25100,https://github.com/topics/littlecodersh/ItChat
microsoft,api-guidelines,22400,https://github.com/topics/microsoft/api-guidelines
PostgREST,postgrest,22300,https://github.com/topics/PostgREST/postgrest
