username,repo_name,stars,repo_url
,jwasham,290000,https://github.com/topics/jwasham
,trekhleb,183000,https://github.com/topics/trekhleb
TheAlgorithms,Python,180000,https://github.com/topics/TheAlgorithms/Python
CyC2018,CS-Notes,172000,https://github.com/topics/CyC2018/CS-Notes
yangshun,tech-interview-handbook,110000,https://github.com/topics/yangshun/tech-interview-handbook
,krahets,75400,https://github.com/topics/krahets
kdn251,interviews,61600,https://github.com/topics/kdn251/interviews
TheAlgorithms,Java,56700,https://github.com/topics/TheAlgorithms/Java
,azl397985856,53800,https://github.com/topics/azl397985856
youngyangyang04,leetcode-master,47300,https://github.com/topics/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46100,https://github.com/topics/algorithm-visualizer/algorithm-visualizer
huihut,interview,33100,https://github.com/topics/huihut/interview
halfrost,LeetCode-Go,32000,https://github.com/topics/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,31300,https://github.com/topics/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,29100,https://github.com/topics/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,28800,https://github.com/topics/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/topics/crossoverJie/JCSprout
keon,algorithms,23600,https://github.com/topics/keon/algorithms
mxgmn,WaveFunctionCollapse,22700,https://github.com/topics/mxgmn/WaveFunctionCollapse
,trekhleb,22500,https://github.com/topics/trekhleb
