username,repo_name,stars,repo_url
,bregman-arie,63500,https://github.com/topics/bregman-arie
ByteByteGoHq,system-design-101,56900,https://github.com/topics/ByteByteGoHq/system-design-101
,localstack,52200,https://github.com/topics/localstack
serverless,serverless,46100,https://github.com/topics/serverless/serverless
donnemartin,data-science-ipython-notebooks,26500,https://github.com/topics/donnemartin/data-science-ipython-notebooks
sst,sst,20100,https://github.com/topics/sst/sst
pulumi,pulumi,19800,https://github.com/topics/pulumi/pulumi
kubernetes-sigs,kubespray,15400,https://github.com/topics/kubernetes-sigs/kubespray
getsops,sops,15100,https://github.com/topics/getsops/sops
aws,aws-cli,14900,https://github.com/topics/aws/aws-cli
ramitsurana,awesome-kubernetes,14700,https://github.com/topics/ramitsurana/awesome-kubernetes
caprover,caprover,12200,https://github.com/topics/caprover/caprover
donnemartin,awesome-aws,12200,https://github.com/topics/donnemartin/awesome-aws
GoogleCloudPlatform,terraformer,11800,https://github.com/topics/GoogleCloudPlatform/terraformer
aws,aws-cdk,11200,https://github.com/topics/aws/aws-cdk
,apereo,10600,https://github.com/topics/apereo
aws,chalice,10300,https://github.com/topics/aws/chalice
,infracost,10300,https://github.com/topics/infracost
,prowler-cloud,9500,https://github.com/topics/prowler-cloud
,milanm,9500,https://github.com/topics/milanm
