username,repo_name,stars,repo_url
amphp,amp,4100,https://github.com/topics/amphp/amp
danog,MadelineProto,2700,https://github.com/topics/danog/MadelineProto
unreal4u,telegram-api,783,https://github.com/topics/unreal4u/telegram-api
amphp,parallel,744,https://github.com/topics/amphp/parallel
amphp,http-client,694,https://github.com/topics/amphp/http-client
amphp,byte-stream,357,https://github.com/topics/amphp/byte-stream
php-service-bus,service-bus,347,https://github.com/topics/php-service-bus/service-bus
amphp,mysql,346,https://github.com/topics/amphp/mysql
amphp,parallel-functions,264,https://github.com/topics/amphp/parallel-functions
amphp,process,225,https://github.com/topics/amphp/process
xtrime-ru,TelegramRSS,215,https://github.com/topics/xtrime-ru/TelegramRSS
amphp,socket,214,https://github.com/topics/amphp/socket
amphp,sync,155,https://github.com/topics/amphp/sync
amphp,dns,148,https://github.com/topics/amphp/dns
amphp,redis,146,https://github.com/topics/amphp/redis
amphp,websocket-client,138,https://github.com/topics/amphp/websocket-client
kelunik,acme,120,https://github.com/topics/kelunik/acme
amphp,websocket-server,112,https://github.com/topics/amphp/websocket-server
amphp,serialization,105,https://github.com/topics/amphp/serialization
amphp,cache,95,https://github.com/topics/amphp/cache
