username,repo_name,stars,repo_url
,flutter,162000,https://github.com/topics/flutter
facebook,react-native,116000,https://github.com/topics/facebook/react-native
justjavac,free-programming-books-zh_CN,109000,https://github.com/topics/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,102000,https://github.com/topics/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,77300,https://github.com/topics/Hack-with-Github/Awesome-Hacking
,Solido,51300,https://github.com/topics/Solido
google,material-design-icons,49800,https://github.com/topics/google/material-design-icons
,wasabeef,49100,https://github.com/topics/wasabeef
,tldr-pages,48400,https://github.com/topics/tldr-pages
square,okhttp,45300,https://github.com/topics/square/okhttp
android,architecture-samples,43900,https://github.com/topics/android/architecture-samples
,laurent22,42900,https://github.com/topics/laurent22
square,retrofit,42600,https://github.com/topics/square/retrofit
,appwrite,41100,https://github.com/topics/appwrite
dcloudio,uni-app,39400,https://github.com/topics/dcloudio/uni-app
,skylot,39100,https://github.com/topics/skylot
,fastlane,38600,https://github.com/topics/fastlane
PhilJay,MPAndroidChart,37300,https://github.com/topics/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,34700,https://github.com/topics/shadowsocks/shadowsocks-android
,airbnb,34700,https://github.com/topics/airbnb
