username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,109000,https://github.com/topics/justjavac/free-programming-books-zh_CN
,angular,94500,https://github.com/topics/angular
,storybookjs,82800,https://github.com/topics/storybookjs
leonardomso,33-js-concepts,61900,https://github.com/topics/leonardomso/33-js-concepts
,ionic-team,50400,https://github.com/topics/ionic-team
,prettier,48300,https://github.com/topics/prettier
Asabeneh,30-Days-Of-JavaScript,40900,https://github.com/topics/Asabeneh/30-Days-Of-JavaScript
,SheetJS,34500,https://github.com/topics/SheetJS
,angular,26600,https://github.com/topics/angular
,angular,24100,https://github.com/topics/angular
,NativeScript,23700,https://github.com/topics/NativeScript
goldbergyoni,javascript-testing-best-practices,23500,https://github.com/topics/goldbergyoni/javascript-testing-best-practices
,wailsapp,22200,https://github.com/topics/wailsapp
,nrwl,22000,https://github.com/topics/nrwl
sudheerj,javascript-interview-questions,21800,https://github.com/topics/sudheerj/javascript-interview-questions
,jhipster,21200,https://github.com/topics/jhipster
,pubkey,20700,https://github.com/topics/pubkey
teambit,bit,17600,https://github.com/topics/teambit/bit
paperless-ngx,paperless-ngx,16800,https://github.com/topics/paperless-ngx/paperless-ngx
,sweetalert2,16800,https://github.com/topics/sweetalert2
