username,repo_name,stars,repo_url
,bregman-arie,63500,https://github.com/topics/bregman-arie
ansible,ansible,61200,https://github.com/topics/ansible/ansible
,trailofbits,28300,https://github.com/topics/trailofbits
,MichaelCade,25800,https://github.com/topics/MichaelCade
StreisandEffect,streisand,23100,https://github.com/topics/StreisandEffect/streisand
kubernetes-sigs,kubespray,15400,https://github.com/topics/kubernetes-sigs/kubespray
ansible,awx,13400,https://github.com/topics/ansible/awx
easzlab,kubeasz,10100,https://github.com/topics/easzlab/kubeasz
,semaphoreui,9300,https://github.com/topics/semaphoreui
geerlingguy,ansible-for-devops,8000,https://github.com/topics/geerlingguy/ansible-for-devops
,netbootxyz,7900,https://github.com/topics/netbootxyz
khuedoan,homelab,7700,https://github.com/topics/khuedoan/homelab
,Tikam02,7700,https://github.com/topics/Tikam02
geerlingguy,mac-dev-playbook,5800,https://github.com/topics/geerlingguy/mac-dev-playbook
rundeck,rundeck,5300,https://github.com/topics/rundeck/rundeck
KubeOperator,KubeOperator,4900,https://github.com/topics/KubeOperator/KubeOperator
clong,DetectionLab,4500,https://github.com/topics/clong/DetectionLab
,ansible,3800,https://github.com/topics/ansible
dev-sec,ansible-collection-hardening,3700,https://github.com/topics/dev-sec/ansible-collection-hardening
,ChristianLempa,3700,https://github.com/topics/ChristianLempa
