username,repo_name,stars,repo_url
,arendst,21300,https://github.com/topics/arendst
,MarlinFirmware,15900,https://github.com/topics/MarlinFirmware
tinygo-org,tinygo,14500,https://github.com/topics/tinygo-org/tinygo
arduino,Arduino,14000,https://github.com/topics/arduino/Arduino
rwaldron,johnny-five,13200,https://github.com/topics/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,12900,https://github.com/topics/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,12600,https://github.com/topics/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,9600,https://github.com/topics/gurugio/lowlevelprogramming-university
hybridgroup,gobot,8700,https://github.com/topics/hybridgroup/gobot
platformio,platformio-core,7500,https://github.com/topics/platformio/platformio-core
,bblanchon,6600,https://github.com/topics/bblanchon
tzapu,WiFiManager,6400,https://github.com/topics/tzapu/WiFiManager
olikraus,u8g2,4800,https://github.com/topics/olikraus/u8g2
justcallmekoko,ESP32Marauder,4600,https://github.com/topics/justcallmekoko/ESP32Marauder
Arduino-IRremote,Arduino-IRremote,4300,https://github.com/topics/Arduino-IRremote/Arduino-IRremote
ClemensElflein,OpenMower,4300,https://github.com/topics/ClemensElflein/OpenMower
,arduino,4200,https://github.com/topics/arduino
omriharel,deej,4200,https://github.com/topics/omriharel/deej
,Serial-Studio,4100,https://github.com/topics/Serial-Studio
hybridgroup,cylon,4000,https://github.com/topics/hybridgroup/cylon
