username,repo_name,stars,repo_url
atom,atom,60000,https://github.com/topics/atom/atom
miniflux,v2,6300,https://github.com/topics/miniflux/v2
,themerdev,5400,https://github.com/topics/themerdev
shd101wyy,markdown-preview-enhanced,4100,https://github.com/topics/shd101wyy/markdown-preview-enhanced
nteract,hydrogen,3900,https://github.com/topics/nteract/hydrogen
mmcdole,gofeed,2500,https://github.com/topics/mmcdole/gofeed
atom,teletype,2400,https://github.com/topics/atom/teletype
feeddd,feeds,2100,https://github.com/topics/feeddd/feeds
NaiboWang,CommandlineConfig,2000,https://github.com/topics/NaiboWang/CommandlineConfig
mehcode,awesome-atom,1900,https://github.com/topics/mehcode/awesome-atom
kurtmckee,feedparser,1800,https://github.com/topics/kurtmckee/feedparser
ocaml,merlin,1500,https://github.com/topics/ocaml/merlin
simplepie,simplepie,1500,https://github.com/topics/simplepie/simplepie
joefitzgerald,go-plus,1500,https://github.com/topics/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/topics/Glavin001/atom-beautify
fwcd,kotlin-language-server,1500,https://github.com/topics/fwcd/kotlin-language-server
t9md,atom-vim-mode-plus,1400,https://github.com/topics/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1400,https://github.com/topics/MagicStack/MagicPython
,martinrotter,1400,https://github.com/topics/martinrotter
,file-icons,1300,https://github.com/topics/file-icons
