username,repo_name,stars,repo_url
,sindresorhus,301000,https://github.com/topics/sindresorhus
vinta,awesome-python,205000,https://github.com/topics/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,178000,https://github.com/topics/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,130000,https://github.com/topics/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,121000,https://github.com/topics/avelino/awesome-go
521xueweihan,HelloGitHub,84900,https://github.com/topics/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,83400,https://github.com/topics/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,77300,https://github.com/topics/Hack-with-Github/Awesome-Hacking
,jaywcjlove,71400,https://github.com/topics/jaywcjlove
DopplerHQ,awesome-interview-questions,67200,https://github.com/topics/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,63800,https://github.com/topics/MunGell/awesome-for-beginners
enaqx,awesome-react,61900,https://github.com/topics/enaqx/awesome-react
,sindresorhus,55900,https://github.com/topics/sindresorhus
fffaraz,awesome-cpp,55600,https://github.com/topics/fffaraz/awesome-cpp
prakhar1989,awesome-courses,53800,https://github.com/topics/prakhar1989/awesome-courses
,binhnguyennus,53100,https://github.com/topics/binhnguyennus
,Solido,51300,https://github.com/topics/Solido
,wasabeef,49100,https://github.com/topics/wasabeef
vsouza,awesome-ios,45800,https://github.com/topics/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,45700,https://github.com/topics/tiimgreen/github-cheat-sheet
