username,repo_name,stars,repo_url
,bregman-arie,63500,https://github.com/topics/bregman-arie
,microsoft,42700,https://github.com/topics/microsoft
pulumi,pulumi,19800,https://github.com/topics/pulumi/pulumi
recommenders-team,recommenders,18000,https://github.com/topics/recommenders-team/recommenders
getsops,sops,15100,https://github.com/topics/getsops/sops
ramitsurana,awesome-kubernetes,14700,https://github.com/topics/ramitsurana/awesome-kubernetes
,Azure,13700,https://github.com/topics/Azure
caprover,caprover,12200,https://github.com/topics/caprover/caprover
danny-avila,LibreChat,10900,https://github.com/topics/danny-avila/LibreChat
,infracost,10300,https://github.com/topics/infracost
,prowler-cloud,9500,https://github.com/topics/prowler-cloud
,milanm,9500,https://github.com/topics/milanm
,google,9400,https://github.com/topics/google
,microsoft,9300,https://github.com/topics/microsoft
budtmo,docker-android,8100,https://github.com/topics/budtmo/docker-android
,Netflix,7600,https://github.com/topics/Netflix
microsoft,azuredatastudio,7400,https://github.com/topics/microsoft/azuredatastudio
midwayjs,midway,7200,https://github.com/topics/midwayjs/midway
,node-formidable,6900,https://github.com/topics/node-formidable
thangchung,clean-code-dotnet,6800,https://github.com/topics/thangchung/clean-code-dotnet
