username,repo_name,stars,repo_url
babel,babel,42900,https://github.com/topics/babel/babel
swc-project,swc,30000,https://github.com/topics/swc-project/swc
nylas,nylas-mail,24800,https://github.com/topics/nylas/nylas-mail
,electron-react-boilerplate,22600,https://github.com/topics/electron-react-boilerplate
SimulatedGREG,electron-vue,15400,https://github.com/topics/SimulatedGREG/electron-vue
grab,front-end-guide,15100,https://github.com/topics/grab/front-end-guide
jamiebuilds,babel-handbook,11900,https://github.com/topics/jamiebuilds/babel-handbook
developit,htm,8600,https://github.com/topics/developit/htm
,grommet,8300,https://github.com/topics/grommet
,ben-rogerson,7800,https://github.com/topics/ben-rogerson
angular-fullstack,generator-angular-fullstack,6100,https://github.com/topics/angular-fullstack/generator-angular-fullstack
fkling,astexplorer,5900,https://github.com/topics/fkling/astexplorer
,ast-grep,5900,https://github.com/topics/ast-grep
documentationjs,documentation,5800,https://github.com/topics/documentationjs/documentation
insin,nwb,5600,https://github.com/topics/insin/nwb
thinkjs,thinkjs,5300,https://github.com/topics/thinkjs/thinkjs
egoist,poi,5200,https://github.com/topics/egoist/poi
thx,gogocode,5200,https://github.com/topics/thx/gogocode
duxianwei520,react,5000,https://github.com/topics/duxianwei520/react
babel,babel-loader,4800,https://github.com/topics/babel/babel-loader
