username,repo_name,stars,repo_url
,jlevy,149000,https://github.com/topics/jlevy
,nvm-sh,75700,https://github.com/topics/nvm-sh
,junegunn,59800,https://github.com/topics/junegunn
,google,41700,https://github.com/topics/google
,starship,40800,https://github.com/topics/starship
LeCoupa,awesome-cheatsheets,37500,https://github.com/topics/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,36500,https://github.com/topics/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,35900,https://github.com/topics/dylanaraps/pure-bash-bible
koalaman,shellcheck,35000,https://github.com/topics/koalaman/shellcheck
alebcay,awesome-shell,31100,https://github.com/topics/alebcay/awesome-shell
mathiasbynens,dotfiles,29800,https://github.com/topics/mathiasbynens/dotfiles
,jaywcjlove,28800,https://github.com/topics/jaywcjlove
,withfig,24300,https://github.com/topics/withfig
kingToolbox,WindTerm,20500,https://github.com/topics/kingToolbox/WindTerm
asdf-vm,asdf,20500,https://github.com/topics/asdf-vm/asdf
dylanaraps,neofetch,20400,https://github.com/topics/dylanaraps/neofetch
,warpdotdev,18800,https://github.com/topics/warpdotdev
,ajeetdsouza,18600,https://github.com/topics/ajeetdsouza
Nyr,openvpn-install,18400,https://github.com/topics/Nyr/openvpn-install
atuinsh,atuin,17800,https://github.com/topics/atuinsh/atuin
