username,repo_name,stars,repo_url
bitcoin,bitcoin,76000,https://github.com/topics/bitcoin/bitcoin
,ccxt,31400,https://github.com/topics/ccxt
,freqtrade,25500,https://github.com/topics/freqtrade
bitcoinbook,bitcoinbook,22600,https://github.com/topics/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,18200,https://github.com/topics/HelloZeroNet/ZeroNet
solana-labs,solana,12100,https://github.com/topics/solana-labs/solana
bbfamily,abu,11300,https://github.com/topics/bbfamily/abu
askmike,gekko,10000,https://github.com/topics/askmike/gekko
dvf,blockchain,7700,https://github.com/topics/dvf/blockchain
lightningnetwork,lnd,7500,https://github.com/topics/lightningnetwork/lnd
,lbryio,7200,https://github.com/topics/lbryio
spesmilo,electrum,7100,https://github.com/topics/spesmilo/electrum
yeasy,blockchain_guide,6700,https://github.com/topics/yeasy/blockchain_guide
getumbrel,umbrel,6400,https://github.com/topics/getumbrel/umbrel
btcsuite,btcd,6100,https://github.com/topics/btcsuite/btcd
btcpayserver,btcpayserver,6000,https://github.com/topics/btcpayserver/btcpayserver
,UFund-Me,5800,https://github.com/topics/UFund-Me
bitcoinjs,bitcoinjs-lib,5500,https://github.com/topics/bitcoinjs/bitcoinjs-lib
,jesse-ai,5200,https://github.com/topics/jesse-ai
anders94,blockchain-demo,5000,https://github.com/topics/anders94/blockchain-demo
