username,repo_name,stars,repo_url
,ccxt,31400,https://github.com/topics/ccxt
,discordjs,24800,https://github.com/topics/discordjs
python-telegram-bot,python-telegram-bot,24800,https://github.com/topics/python-telegram-bot/python-telegram-bot
,wechaty,19000,https://github.com/topics/wechaty
,RasaHQ,18000,https://github.com/topics/RasaHQ
hubotio,hubot,16600,https://github.com/topics/hubotio/hubot
InstaPy,InstaPy,16300,https://github.com/topics/InstaPy/InstaPy
,leon-ai,14600,https://github.com/topics/leon-ai
Rapptz,discord.py,14300,https://github.com/topics/Rapptz/discord.py
tgbot-collection,YYeTsBot,13900,https://github.com/topics/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,13900,https://github.com/topics/gunthercox/ChatterBot
,pedroslopez,13600,https://github.com/topics/pedroslopez
,lss233,12000,https://github.com/topics/lss233
howdyai,botkit,11300,https://github.com/topics/howdyai/botkit
Mrs4s,go-cqhttp,10200,https://github.com/topics/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9900,https://github.com/topics/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,7900,https://github.com/topics/yagop/node-telegram-bot-api
,telegraf,7700,https://github.com/topics/telegraf
microsoft,ailab,7600,https://github.com/topics/microsoft/ailab
microsoft,botframework-sdk,7400,https://github.com/topics/microsoft/botframework-sdk
