username,repo_name,stars,repo_url
CyC2018,CS-Notes,172000,https://github.com/topics/CyC2018/CS-Notes
practical-tutorials,project-based-learning,169000,https://github.com/topics/practical-tutorials/project-based-learning
fffaraz,awesome-cpp,55600,https://github.com/topics/fffaraz/awesome-cpp
,azl397985856,53800,https://github.com/topics/azl397985856
youngyangyang04,leetcode-master,47300,https://github.com/topics/youngyangyang04/leetcode-master
,x64dbg,43200,https://github.com/topics/x64dbg
Light-City,CPlusPlusThings,37300,https://github.com/topics/Light-City/CPlusPlusThings
huihut,interview,33100,https://github.com/topics/huihut/interview
carbon-language,carbon-lang,32200,https://github.com/topics/carbon-language/carbon-lang
,CMU-Perceptual-Computing-Lab,29900,https://github.com/topics/CMU-Perceptual-Computing-Lab
TheAlgorithms,C-Plus-Plus,29100,https://github.com/topics/TheAlgorithms/C-Plus-Plus
,doocs,28900,https://github.com/topics/doocs
,microsoft,28900,https://github.com/topics/microsoft
,aseprite,26600,https://github.com/topics/aseprite
,dragonflydb,23900,https://github.com/topics/dragonflydb
,changkun,23100,https://github.com/topics/changkun
ethereum,solidity,22300,https://github.com/topics/ethereum/solidity
gabime,spdlog,22300,https://github.com/topics/gabime/spdlog
microsoft,vcpkg,21500,https://github.com/topics/microsoft/vcpkg
ssloy,tinyrenderer,19400,https://github.com/topics/ssloy/tinyrenderer
