username,repo_name,stars,repo_url
Genymobile,scrcpy,102000,https://github.com/topics/Genymobile/scrcpy
neovim,neovim,76500,https://github.com/topics/neovim/neovim
,obsproject,55600,https://github.com/topics/obsproject
fffaraz,awesome-cpp,55600,https://github.com/topics/fffaraz/awesome-cpp
git,git,50000,https://github.com/topics/git/git
FFmpeg,FFmpeg,42400,https://github.com/topics/FFmpeg/FFmpeg
,serhii-londar,39500,https://github.com/topics/serhii-londar
vim,vim,35000,https://github.com/topics/vim/vim
,curl,34200,https://github.com/topics/curl
huihut,interview,33100,https://github.com/topics/huihut/interview
mpv-player,mpv,26000,https://github.com/topics/mpv-player/mpv
ggreer,the_silver_searcher,25700,https://github.com/topics/ggreer/the_silver_searcher
,ossrs,24200,https://github.com/topics/ossrs
,google,22100,https://github.com/topics/google
,kovidgoyal,22000,https://github.com/topics/kovidgoyal
ruby,ruby,21500,https://github.com/topics/ruby/ruby
microsoft,vcpkg,21500,https://github.com/topics/microsoft/vcpkg
hashcat,hashcat,19900,https://github.com/topics/hashcat/hashcat
radareorg,radare2,19600,https://github.com/topics/radareorg/radare2
,raysan5,18900,https://github.com/topics/raysan5
