username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,29200,https://github.com/topics/CSSEGISandData/COVID-19
,nytimes,7000,https://github.com/topics/nytimes
,covid19india,6900,https://github.com/topics/covid19india
,Tokyo-Metro-Gov,6300,https://github.com/topics/Tokyo-Metro-Gov
owid,covid-19-data,5600,https://github.com/topics/owid/covid-19-data
pcm-dpc,COVID-19,3900,https://github.com/topics/pcm-dpc/COVID-19
,ieee8023,3000,https://github.com/topics/ieee8023
geohot,corona,2500,https://github.com/topics/geohot/corona
disease-sh,API,2500,https://github.com/topics/disease-sh/API
WorldHealthOrganization,app,2100,https://github.com/topics/WorldHealthOrganization/app
,corona-warn-app,1900,https://github.com/topics/corona-warn-app
,ahmadawais,1800,https://github.com/topics/ahmadawais
cirosantilli,china-dictatorship,1800,https://github.com/topics/cirosantilli/china-dictatorship
,github,1600,https://github.com/topics/github
,ExpDev07,1600,https://github.com/topics/ExpDev07
,soroushchehresa,1600,https://github.com/topics/soroushchehresa
,mhdhejazi,1500,https://github.com/topics/mhdhejazi
,chandrikadeb7,1500,https://github.com/topics/chandrikadeb7
chrismattmann,tika-python,1400,https://github.com/topics/chrismattmann/tika-python
neherlab,covid19_scenarios,1400,https://github.com/topics/neherlab/covid19_scenarios
