username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,46600,https://github.com/topics/iamadamdev/bypass-paywalls-chrome
,jaywcjlove,28800,https://github.com/topics/jaywcjlove
,refined-github,23100,https://github.com/topics/refined-github
,openai-translator,22700,https://github.com/topics/openai-translator
,darkreader,18700,https://github.com/topics/darkreader
,dailydotdev,16400,https://github.com/topics/dailydotdev
,checkly,15000,https://github.com/topics/checkly
unbug,codelf,14000,https://github.com/topics/unbug/codelf
,gildas-lormeau,13700,https://github.com/topics/gildas-lormeau
immersive-translate,immersive-translate,13300,https://github.com/topics/immersive-translate/immersive-translate
wong2,chatgpt-google-extension,13300,https://github.com/topics/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12200,https://github.com/topics/Anarios/return-youtube-dislike
,crimx,11600,https://github.com/topics/crimx
listen1,listen1_chrome_extension,11000,https://github.com/topics/listen1/listen1_chrome_extension
,alyssaxuu,10400,https://github.com/topics/alyssaxuu
AutomaApp,automa,9700,https://github.com/topics/AutomaApp/automa
josStorer,chatGPTBox,9500,https://github.com/topics/josStorer/chatGPTBox
chathub-dev,chathub,9500,https://github.com/topics/chathub-dev/chathub
ajayyy,SponsorBlock,8700,https://github.com/topics/ajayyy/SponsorBlock
,PlasmoHQ,8300,https://github.com/topics/PlasmoHQ
