username,repo_name,stars,repo_url
electron,electron,112000,https://github.com/topics/electron/electron
puppeteer,puppeteer,86800,https://github.com/topics/puppeteer/puppeteer
,microsoft,61800,https://github.com/topics/microsoft
iamadamdev,bypass-paywalls-chrome,46600,https://github.com/topics/iamadamdev/bypass-paywalls-chrome
,FiloSottile,45800,https://github.com/topics/FiloSottile
,jaywcjlove,28800,https://github.com/topics/jaywcjlove
,ovity,22700,https://github.com/topics/ovity
segment-boneyard,nightmare,19500,https://github.com/topics/segment-boneyard/nightmare
,checkly,15000,https://github.com/topics/checkly
GoogleChrome,chrome-extensions-samples,14300,https://github.com/topics/GoogleChrome/chrome-extensions-samples
google,WebFundamentals,13800,https://github.com/topics/google/WebFundamentals
,gildas-lormeau,13700,https://github.com/topics/gildas-lormeau
schickling,chromeless,13200,https://github.com/topics/schickling/chromeless
casesandberg,react-color,11900,https://github.com/topics/casesandberg/react-color
,crimx,11600,https://github.com/topics/crimx
MetaMask,metamask-extension,11500,https://github.com/topics/MetaMask/metamask-extension
chromedp,chromedp,10400,https://github.com/topics/chromedp/chromedp
,moonD4rk,10000,https://github.com/topics/moonD4rk
ajayyy,SponsorBlock,8700,https://github.com/topics/ajayyy/SponsorBlock
,bitwarden,8300,https://github.com/topics/bitwarden
