username,repo_name,stars,repo_url
metabase,metabase,36500,https://github.com/topics/metabase/metabase
,logseq,29800,https://github.com/topics/logseq
,penpot,27400,https://github.com/topics/penpot
deeplearning4j,deeplearning4j,13400,https://github.com/topics/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/topics/LightTable/LightTable
kanaka,mal,9800,https://github.com/topics/kanaka/mal
lk-geimfari,awesomo,9200,https://github.com/topics/lk-geimfari/awesomo
,tonsky,5400,https://github.com/topics/tonsky
reagent-project,reagent,4700,https://github.com/topics/reagent-project/reagent
izhangzhihao,intellij-rainbow-brackets,4300,https://github.com/topics/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4200,https://github.com/topics/riemann/riemann
weavejester,compojure,4100,https://github.com/topics/weavejester/compojure
bbatsov,clojure-style-guide,4000,https://github.com/topics/bbatsov/clojure-style-guide
status-im,status-mobile,3800,https://github.com/topics/status-im/status-mobile
babashka,babashka,3800,https://github.com/topics/babashka/babashka
ring-clojure,ring,3700,https://github.com/topics/ring-clojure/ring
,defold,3700,https://github.com/topics/defold
clojure-emacs,cider,3500,https://github.com/topics/clojure-emacs/cider
viebel,klipse,3100,https://github.com/topics/viebel/klipse
tallesl,Rich-Hickey-fanclub,3000,https://github.com/topics/tallesl/Rich-Hickey-fanclub
