username,repo_name,stars,repo_url
realm,SwiftLint,18300,https://github.com/topics/realm/SwiftLint
facebook,infer,14700,https://github.com/topics/facebook/infer
,analysis-tools-dev,12900,https://github.com/topics/analysis-tools-dev
,federico-busato,10800,https://github.com/topics/federico-busato
,Kristories,9500,https://github.com/topics/Kristories
super-linter,super-linter,9200,https://github.com/topics/super-linter/super-linter
SonarSource,sonarqube,8600,https://github.com/topics/SonarSource/sonarqube
,checkstyle,8100,https://github.com/topics/checkstyle
,reviewdog,7400,https://github.com/topics/reviewdog
facebook,pyre-check,6700,https://github.com/topics/facebook/pyre-check
,detekt,6000,https://github.com/topics/detekt
,trekhleb,5300,https://github.com/topics/trekhleb
import-js,eslint-plugin-import,5300,https://github.com/topics/import-js/eslint-plugin-import
pylint-dev,pylint,5100,https://github.com/topics/pylint-dev/pylint
simplecov-ruby,simplecov,4700,https://github.com/topics/simplecov-ruby/simplecov
pmd,pmd,4700,https://github.com/topics/pmd/pmd
kucherenko,jscpd,4500,https://github.com/topics/kucherenko/jscpd
phpro,grumphp,4100,https://github.com/topics/phpro/grumphp
htmlhint,HTMLHint,3000,https://github.com/topics/htmlhint/HTMLHint
codeclimate,codeclimate,2500,https://github.com/topics/codeclimate/codeclimate
