username,repo_name,stars,repo_url
,ovity,22700,https://github.com/topics/ovity
,gitpod-io,12300,https://github.com/topics/gitpod-io
,reviewdog,7400,https://github.com/topics/reviewdog
danger,danger,5300,https://github.com/topics/danger/danger
danger,danger-js,5200,https://github.com/topics/danger/danger-js
joho,awesome-code-review,4200,https://github.com/topics/joho/awesome-code-review
Codium-ai,pr-agent,4100,https://github.com/topics/Codium-ai/pr-agent
ajinabraham,nodejsscan,2300,https://github.com/topics/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2200,https://github.com/topics/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,2000,https://github.com/topics/crev-dev/cargo-crev
houndci,hound,1900,https://github.com/topics/houndci/hound
,mbj,1900,https://github.com/topics/mbj
Tencent,CodeAnalysis,1600,https://github.com/topics/Tencent/CodeAnalysis
reviewboard,reviewboard,1500,https://github.com/topics/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1400,https://github.com/topics/ryanmcdermott/code-review-tips
coderabbitai,ai-pr-reviewer,1300,https://github.com/topics/coderabbitai/ai-pr-reviewer
,mattzcarey,1300,https://github.com/topics/mattzcarey
bit4woo,python_sec,1300,https://github.com/topics/bit4woo/python_sec
code-review-checklists,java-concurrency,1300,https://github.com/topics/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,957,https://github.com/topics/jiangsir404/Audit-Learning
