username,repo_name,stars,repo_url
,ohmyzsh,169000,https://github.com/topics/ohmyzsh
,junegunn,59800,https://github.com/topics/junegunn
sherlock-project,sherlock,51300,https://github.com/topics/sherlock-project/sherlock
,sharkdp,46500,https://github.com/topics/sharkdp
jesseduffield,lazygit,45600,https://github.com/topics/jesseduffield/lazygit
BurntSushi,ripgrep,45000,https://github.com/topics/BurntSushi/ripgrep
wagoodman,dive,43600,https://github.com/topics/wagoodman/dive
,google,41700,https://github.com/topics/google
,n8n-io,40700,https://github.com/topics/n8n-io
chubin,cheat.sh,37500,https://github.com/topics/chubin/cheat.sh
spf13,cobra,36000,https://github.com/topics/spf13/cobra
,cli,35400,https://github.com/topics/cli
,httpie,31900,https://github.com/topics/httpie
sharkdp,fd,31600,https://github.com/topics/sharkdp/fd
alebcay,awesome-shell,31100,https://github.com/topics/alebcay/awesome-shell
ibraheemdev,modern-unix,29800,https://github.com/topics/ibraheemdev/modern-unix
acheong08,ChatGPT,27900,https://github.com/topics/acheong08/ChatGPT
tqdm,tqdm,27500,https://github.com/topics/tqdm/tqdm
,angular,26600,https://github.com/topics/angular
google,python-fire,26300,https://github.com/topics/google/python-fire
