username,repo_name,stars,repo_url
,vercel,121000,https://github.com/topics/vercel
rust-lang,rust,93000,https://github.com/topics/rust-lang/rust
,sveltejs,76500,https://github.com/topics/sveltejs
webpack,webpack,64200,https://github.com/topics/webpack/webpack
FuelLabs,sway,63200,https://github.com/topics/FuelLabs/sway
gatsbyjs,gatsby,55000,https://github.com/topics/gatsbyjs/gatsby
,JetBrains,47500,https://github.com/topics/JetBrains
parcel-bundler,parcel,43100,https://github.com/topics/parcel-bundler/parcel
babel,babel,42900,https://github.com/topics/babel/babel
evanw,esbuild,37300,https://github.com/topics/evanw/esbuild
vlang,v,35300,https://github.com/topics/vlang/v
carbon-language,carbon-lang,32200,https://github.com/topics/carbon-language/carbon-lang
markedjs,marked,31900,https://github.com/topics/markedjs/marked
ziglang,zig,30700,https://github.com/topics/ziglang/zig
swc-project,swc,30000,https://github.com/topics/swc-project/swc
typst,typst,28300,https://github.com/topics/typst/typst
,vercel,24200,https://github.com/topics/vercel
v8,v8,22700,https://github.com/topics/v8/v8
,oracle,19800,https://github.com/topics/oracle
RustPython,RustPython,17600,https://github.com/topics/RustPython/RustPython
