username,repo_name,stars,repo_url
,localstack,52200,https://github.com/topics/localstack
harness,gitness,31400,https://github.com/topics/harness/gitness
jenkinsci,jenkins,22400,https://github.com/topics/jenkinsci/jenkins
auchenberg,volkswagen,13200,https://github.com/topics/auchenberg/volkswagen
dagger,dagger,10300,https://github.com/topics/dagger/dagger
,milanm,9500,https://github.com/topics/milanm
openshift,origin,8400,https://github.com/topics/openshift/origin
concourse,concourse,7200,https://github.com/topics/concourse/concourse
gocd,gocd,7000,https://github.com/topics/gocd/gocd
buildbot,buildbot,5200,https://github.com/topics/buildbot/buildbot
gaia-pipeline,gaia,5200,https://github.com/topics/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/topics/Strider-CD/strider
,jenkins-x,4500,https://github.com/topics/jenkins-x
,ovh,4400,https://github.com/topics/ovh
,Flagsmith,4300,https://github.com/topics/Flagsmith
,JamesIves,4100,https://github.com/topics/JamesIves
,TheLartians,4000,https://github.com/topics/TheLartians
,iterative,3900,https://github.com/topics/iterative
,werf,3900,https://github.com/topics/werf
xcpretty,xcpretty,3900,https://github.com/topics/xcpretty/xcpretty
